wp_post_id,title,current_url,target_collection,subhub,featured,confidence,word_count,post_date,post_modified,comment_count,notes
4882,Diary of a doting Daddy,https://thebreakingdad.co.uk/parenthood/diary-doting-daddy/,diary,,false,high,1010,2020-03-15,2020-03-15,0,diary-style title: 'diary'
5472,My top 10 parenting rules to live by,https://thebreakingdad.co.uk/parenthood/my-top-10-parenting-rules-to-live-by/,diary,,false,high,2059,2020-12-15,2025-04-10,1,diary-style title: 'top 10 parenting rules'
5480,You can't pour from an empty cup,https://thebreakingdad.co.uk/parenthood/you-cant-pour-from-an-empty-cup/,diary,,false,high,249,2020-10-02,2020-10-02,0,diary-style title: 'empty cup'
5484,10 things you should start doing for a happier life,https://thebreakingdad.co.uk/parenthood/10-things-you-should-start-doing-for-a-happier-life/,diary,,false,high,188,2020-10-02,2020-10-02,0,diary-style title: 'start doing for a happier life'
5536,13 low budget activities for kids to do at home,https://thebreakingdad.co.uk/parenting-hacks-and-tips/home-activities-for-kids/,cull,,false,low,2143,2020-12-23,2020-12-23,0,"CULL — 2143 words, modified 64mo ago"
5569,10k Instagram followers for a Breaking Dad and his beautiful daughter.,https://thebreakingdad.co.uk/uncategorized/10k-instagram-followers/,diary,,false,high,410,2020-11-11,2020-11-11,0,diary-style title: 'instagram followers'
5578,Facing into Parental Self-Doubt After Separation,https://thebreakingdad.co.uk/parenthood/facing-into-parental-self-doubt-after-separation/,posts,starting-over,false,medium,319,2020-11-18,2020-11-18,0,title keyword → posts/starting-over
5621,Our Favourite Parent Bloggers,https://thebreakingdad.co.uk/parenthood/our-favourite-parent-bloggers/,diary,,false,high,753,2020-12-01,2020-12-01,0,diary-style title: 'parent bloggers'
5656,Our first vlog on YouTube!,https://thebreakingdad.co.uk/uncategorized/our-first-vlog-on-youtube/,diary,,false,high,97,2020-12-02,2020-12-02,0,diary-style title: 'vlog'
5665,The next chapter: Blended family,https://thebreakingdad.co.uk/uncategorized/the-next-chapter-blended-family/,posts,blended-family,false,medium,812,2020-12-09,2020-12-09,0,multiple subhub tags; manual tiebreak → blended-family
5718,Grow Your Parenting Instagram Account to More Than 10K In Less Than 12 Months,https://thebreakingdad.co.uk/parenthood/grow-your-parenting-instagram/,diary,,false,high,168,2020-12-14,2020-12-14,0,diary-style title: 'instagram account'
5720,The importance of taking time for yourself,https://thebreakingdad.co.uk/parenthood/the-importance-of-taking-time-for-yourself/,posts,starting-over,false,high,939,2020-12-12,2020-12-12,0,tag match → starting-over
5754,KidKraft Majestic Mansion Review: What you need to know,https://thebreakingdad.co.uk/parenthood/kidkraft-majestic-mansion-dollhouse/,reviews,,false,high,960,2022-02-10,2022-02-10,0,WP category 'reviews'
5771,Raising Strong Daughters: Here's what you must do,https://thebreakingdad.co.uk/parenthood/raising-stong-daughters/,cull,,false,low,1368,2020-12-21,2025-04-22,1,"CULL — 1368 words, modified 12mo ago"
5974,5 things about parenthood NOTHING can prepare you for,https://thebreakingdad.co.uk/parenthood/5-things-about-parenthood-that-nothing-can-prepare-you-for/,cull,,false,low,1585,2021-01-05,2021-01-05,2,"CULL — 1585 words, modified 64mo ago"
6113,Cardboard Crafts: Cardboard Laptop,https://thebreakingdad.co.uk/arts-and-crafts/cardboard-crafts-cardboard-laptop/,diary,,false,high,558,2021-01-18,2021-01-18,0,diary-style title: 'cardboard crafts'
6156,Follower Focus: The Windsors,https://thebreakingdad.co.uk/uncategorized/follower-focus-the-windsors/,diary,,false,high,936,2021-01-19,2025-03-20,0,diary-style title: 'follower focus'
6158,A blended family: All the ingredients,https://thebreakingdad.co.uk/parenthood/a-blended-family-all-the-ingredients/,posts,co-parenting,false,high,345,2021-01-18,2021-01-18,0,WP category 'co-parenting'
6211,Cardboard Crafts: Fish Tank,https://thebreakingdad.co.uk/things-to-do/cardboard-crafts-fish-tank/,diary,,false,high,656,2021-02-01,2025-03-20,0,diary-style title: 'cardboard crafts'
6233,A year of the Breaking Dad on Instagram,https://thebreakingdad.co.uk/co-parenting/a-year-of-the-breaking-dad-on-instagram/,posts,co-parenting,false,high,400,2021-01-27,2021-01-27,0,WP category 'co-parenting'
6263,Effects of parental separation on a child,https://thebreakingdad.co.uk/separated-parents/effects-of-parental-separation-on-a-child/,posts,starting-over,false,medium,1495,2021-02-02,2025-05-12,2,multiple subhub tags; manual tiebreak → starting-over
6422,10 Common Parenting Mistakes and How to Avoid Them,https://thebreakingdad.co.uk/parenting-hacks-and-tips/common-parenting-mistakes/,cull,,false,low,2028,2021-02-23,2021-02-23,16,"CULL — 2028 words, modified 62mo ago"
6489,Sustainable Family: How we plan to live a more sustainable lifestyle,https://thebreakingdad.co.uk/parenthood/sustainable-family-the-start-of-a-sustainable-lifestyle-journey/,diary,,false,high,2352,2021-03-11,2021-03-11,8,diary-style title: 'sustainable family'
6492,International Women’s Day as a Father of a Daughter,https://thebreakingdad.co.uk/parenthood/a-letter-to-my-daughter-on-international-womens-day/,diary,,false,high,399,2021-03-08,2021-03-08,0,diary-style title: 'international women’s day'
6508,Smol Review 2025: Are Their Eco-Friendly Laundry and Dishwasher Tablets Still Worth It?,https://thebreakingdad.co.uk/reviews/smol-review-are-they-as-good-as-they-sound/,reviews,,false,high,1623,2025-07-02,2025-07-02,0,WP category 'reviews'
6527,When a temper tantrum isn’t a temper tantrum.,https://thebreakingdad.co.uk/parenthood/when-a-temper-tantrum-isnt-a-temper-tantrum/,diary,,false,high,413,2021-03-10,2021-03-10,0,diary-style title: 'temper tantrum'
6560,A Typical Day in the Life of a Not-so-typical Daddy and his Daughter,https://thebreakingdad.co.uk/parenthood/day-in-the-life/,diary,,false,high,2450,2021-03-15,2021-03-15,1,diary-style title: 'typical day'
6592,Two years of coparenting,https://thebreakingdad.co.uk/co-parenting/two-years-of-coparenting/,posts,co-parenting,false,high,397,2021-03-25,2021-03-25,0,WP category 'co-parenting'
6602,This is Fatherhood.,https://thebreakingdad.co.uk/parenthood/this-is-fatherhood/,diary,,false,high,147,2021-06-22,2021-06-22,0,diary-style title: 'this is fatherhood'
6619,Featured: 4 Tips for Coping With Separation,https://thebreakingdad.co.uk/co-parenting/featured-4-tips-for-coping-with-separation/,posts,co-parenting,false,high,608,2021-08-26,2021-08-26,0,WP category 'co-parenting'
6623,Healthy snack hacks for little kids,https://thebreakingdad.co.uk/parenting-guides/dole-mandarins-in-juice/,cull,,false,low,595,2021-10-18,2021-10-18,0,"CULL — 595 words, modified 54mo ago"
6635,We moved in together!,https://thebreakingdad.co.uk/co-parenting/we-moved-in-together/,posts,co-parenting,false,high,156,2021-11-01,2021-11-01,0,WP category 'co-parenting'
6652,5 Effective Car Tips to Ensure a Safe Road Trip,https://thebreakingdad.co.uk/parenting-guides/5-effective-car-tips-to-ensure-a-safe-road-trip/,cull,,false,low,352,2021-11-22,2021-11-22,0,"CULL — 352 words, modified 53mo ago"
6673,Honest Mobile Review: What's the honest verdict?,https://thebreakingdad.co.uk/reviews/honest-mobile-review/,reviews,,false,high,1567,2022-01-18,2025-04-21,0,WP category 'reviews'
6754,Co-Parenting After a Toxic Relationship: A Guide to Positive Parenting,https://thebreakingdad.co.uk/separated-parents/co-parenting-after-toxic-relationship/,posts,co-parenting,false,high,1018,2023-05-11,2025-03-26,0,WP category 'co-parenting'
6759,The Role of Mediation in Co-parenting: A Comprehensive Guide,https://thebreakingdad.co.uk/co-parenting/the-role-of-mediation-in-co-parenting-after-a-toxic-relationship-a-comprehensive-guide/,posts,co-parenting,false,high,1019,2023-05-12,2025-04-20,0,WP category 'co-parenting'
6765,Tom life insurance review 2023,https://thebreakingdad.co.uk/reviews/tom-life-insurance-review-2023/,reviews,,false,high,1077,2023-05-24,2023-05-24,0,WP category 'reviews'
6893,How a parenting plan can help in 2025,https://thebreakingdad.co.uk/separated-parents/how-a-parenting-plan-can-help/,posts,co-parenting,false,high,2017,2024-04-22,2025-06-25,0,title keyword → posts/co-parenting
