wp_post_id,title,current_url,target_collection,subhub,featured,confidence,notes
6638,Mela Comfort Kids Weighted Blanket Review,https://thebreakingdad.co.uk/?p=6638,reviews,,false,high,title keyword → reviews/
6640,The Great [Windsor] Firework Heist,https://thebreakingdad.co.uk/?p=6640,diary,,false,low,generic parenting content (cats=['uncategorized']); consider dropping
6660,25 UK parenting bloggers you need to follow,https://thebreakingdad.co.uk/?p=6660,diary,,false,low,generic parenting content (cats=['uncategorized']); consider dropping
6663,"Spinning Plates: The reality of coparenting, working and creating a blended family",https://thebreakingdad.co.uk/?p=6663,posts,blended-family,false,high,title keyword → posts/blended-family
6692,Every Elf on the Shelf Reel from 2021,https://thebreakingdad.co.uk/?p=6692,diary,,false,low,generic parenting content (cats=['uncategorized']); consider dropping
6781,Managing Parental Separation Anxiety: A Comprehensive Guide,https://thebreakingdad.co.uk/?p=6781,diary,,false,low,generic parenting content (cats=['uncategorized']); consider dropping
6785,Navigating Blended Families: A Journey of Co-Parenting and Love,https://thebreakingdad.co.uk/?p=6785,posts,co-parenting,false,high,title keyword → posts/co-parenting
6786,Co-parenting across Different Households,https://thebreakingdad.co.uk/?p=6786,posts,co-parenting,false,high,title keyword → posts/co-parenting
6818,5 Mindful Micro-Moments: Sprinkling Serenity into Busy Parent Life,https://thebreakingdad.co.uk/?p=6818,diary,,false,low,generic parenting content (cats=['parenthood']); consider dropping
6888,What is Mindful Parenting?,https://thebreakingdad.co.uk/?p=6888,diary,,false,low,generic parenting content (cats=['uncategorized']); consider dropping
7074,Affordable Family Adventures in Hampshire: Top Picks for Under £30,https://thebreakingdad.co.uk/?p=7074,diary,,false,high,diary-style title: 'hampshire'
7093,How to Talk to Kids About Divorce: A Parent’s Guide to a Healthier Transition,https://thebreakingdad.co.uk/?p=7093,diary,,false,low,generic parenting content (cats=['uncategorized']); consider dropping
7905,Navigating the Challenges of Co Parenting with a Narcissist: Essential Tips and Strategies,https://thebreakingdad.co.uk/?p=7905,posts,co-parenting,false,high,WP category 'co-parenting'
7989,Navigating the Challenges of Blended Family Dynamics,https://thebreakingdad.co.uk/?p=7989,posts,blended-family,false,high,title keyword → posts/blended-family
8030,The Ultimate Guide to Co-Parenting Apps for Separated Parents in the UK,https://thebreakingdad.co.uk/?p=8030,posts,co-parenting,false,high,title keyword → posts/co-parenting
8044,,https://thebreakingdad.co.uk/?p=8044,diary,,false,low,generic parenting content (cats=['uncategorized']); consider dropping
8112,Best Family Days Out in the UK | Dayoutwiththekids,https://thebreakingdad.co.uk/?p=8112,diary,,false,low,generic parenting content (cats=['uncategorized']); consider dropping
8145,Life Updates: The perfect family Easter weekend,https://thebreakingdad.co.uk/?p=8145,diary,,false,low,generic parenting content (cats=['uncategorized']); consider dropping
8901,Parallel Parenting vs Co-Parenting: Which Parenting Approach Works Best for Your Family?,https://thebreakingdad.co.uk/?p=8901,posts,co-parenting,false,high,title keyword → posts/co-parenting
8932,Parallel Parenting vs Co-Parenting: Which Parenting Approach Works Best for Your Family?,https://thebreakingdad.co.uk/?p=8932,posts,co-parenting,false,high,title keyword → posts/co-parenting
